id,name,code,type,cost,price,price2,description,model,category_id,created_at,updated_at,deleted_at
1,Cady Slim,0,قطع غيار,50.0,70.0,60.0,,,13,2023-10-06 16:32:33,2023-10-06 16:32:33,
4,Battery 93FTF Copy,0,قطع غيار,800.0,1000.0,0.0,Compatible with Dell Precision 15 3520 3530 Latitude E5280 E5480 E5580 E5490 E5590 E5480 E5290 E5591 E5491 Series D4CMT 4YFVG 83XPC 083XPC,DELL,16,2023-10-07 21:40:20,2023-10-07 21:52:53,
5,Battery CM03XL Copy,0,قطع غيار,500.0,650.0,0.0,"Battery fit HP EliteBook 740 745 750 755 840 845 850 855 G1 G2 Series, fit HP ZBook 14 15u, P/N: HSTNN-DB4Q HSTNN-L11C-5 HSTNN-LB4R 717376-001 CM03 CM03050XL Notebook Laptop Battery",HP,16,2023-10-07 21:51:35,2023-10-07 21:53:08,
6,Screen 15.6 HD 30 Pin Slim,0,قطع غيار,1100.0,1550.0,0.0,,,18,2023-10-07 21:52:13,2023-10-07 21:52:13,
7,Screen 15.6 HD 40 Pin Slim,0,قطع غيار,1400.0,1750.0,0.0,,,18,2023-10-07 21:53:30,2023-10-07 21:53:38,
8,Screen 15.6 FHD 30 Pin Slim,0,قطع غيار,0.0,0.0,0.0,,,18,2023-10-07 21:54:00,2023-10-07 21:54:00,
9,Screen 15.6 FHD 40 Pin Slim,0,قطع غيار,0.0,0.0,0.0,,,18,2023-10-07 21:54:10,2023-10-07 21:54:10,
10,Screen 15.6 FHD 30 Pin Slim,0,قطع غيار,1700.0,2050.0,0.0,,,18,2023-10-07 21:54:23,2023-11-29 00:25:49,
11,HP 15-ac120 Power Socket,0,قطع غيار,0.0,0.0,0.0,,HP,47,2023-10-07 21:58:42,2023-10-07 21:58:51,
12,SSD 128G M.2,1,قطع غيار,450.0,550.0,0.0,,,90,2023-11-29 00:28:18,2023-11-29 00:28:18,
13,RAM PC3L 8G,5,قطع غيار,425.0,550.0,0.0,,,,2023-11-29 00:29:04,2023-11-29 00:29:04,
14,ideapad 320 Battery,0,قطع غيار,800.0,1150.0,0.0,,,16,2023-11-29 00:37:25,2023-11-29 00:37:25,
15,Install software + All Programs and All Orignal Drivers,0,خدمه,0.0,150.0,0.0,,,,2023-11-29 15:47:08,2023-11-29 15:47:08,
16,HS03,0,قطع غيار,750.0,1000.0,0.0,,,16,2023-12-03 19:30:46,2023-12-03 19:30:46,
17,Screen 15.6 HD Led 40Pin,0,قطع غيار,1200.0,1450.0,0.0,,,,2023-12-03 19:32:07,2023-12-03 19:32:07,
18,Fan,0,قطع غيار,0.0,0.0,0.0,,,,2023-12-03 19:33:58,2023-12-03 19:33:58,
19,Battery,0,قطع غيار,0.0,0.0,0.0,,,,2023-12-04 17:31:10,2023-12-04 17:31:10,
20,حسن,0,قطع غيار,0.0,1200.0,0.0,2 شاشه 6.15  من BIT,,,2023-12-04 20:09:46,2023-12-04 20:09:46,
23,حسن,0,قطع غيار,0.0,250.0,0.0,كيبورد من BIT,,,2023-12-04 20:12:18,2023-12-04 20:12:18,
24,KB,0,قطع غيار,0.0,0.0,0.0,,,,2023-12-05 00:51:07,2023-12-05 00:51:07,
25,Install Windows + Basic Programs + Orignal Drivers,0,خدمه,0.0,150.0,0.0,,,,2023-12-05 01:08:09,2023-12-05 01:08:09,
26,Cooling System Maintenance,0,خدمه,0.0,0.0,0.0,,,,2023-12-05 01:09:23,2023-12-05 01:09:23,
27,Change New Screen 15.6 Led,0,خدمه,1200.0,1450.0,0.0,,,,2023-12-05 19:07:42,2023-12-05 19:08:20,
28,"New SSD 2.5"" 256G",0,قطع غيار,850.0,900.0,0.0,,,90,2023-12-12 02:07:16,2023-12-12 02:07:16,
29,"New SSD 2.5"" 512G",0,قطع غيار,1450.0,1600.0,0.0,,,,2023-12-12 02:07:43,2023-12-12 02:07:43,
30,Charger Dell Orignal Pin 130W,0,قطع غيار,450.0,650.0,0.0,,,17,2023-12-12 02:09:28,2023-12-12 02:09:28,
31,Charger Dell Orignal New Pin 130W,0,قطع غيار,550.0,750.0,0.0,,,,2023-12-12 02:09:51,2023-12-12 02:09:51,
32,"SSD 2.5"" 512G",0,قطع غيار,0.0,1450.0,0.0,,,,2023-12-14 19:53:13,2023-12-14 19:53:13,
33,كبل شاحن,0,قطع غيار,30.0,0.0,0.0,,,13,2023-12-21 00:44:35,2023-12-21 00:44:35,
34,كبل شاحن ماك,0,قطع غيار,125.0,0.0,0.0,,,13,2023-12-21 00:44:56,2023-12-21 00:44:56,
35,SSD M.2 512G,0,قطع غيار,1450.0,1650.0,0.0,,,90,2023-12-25 10:40:33,2023-12-25 10:40:33,
36,Charger Original,0,قطع غيار,0.0,0.0,0.0,,,17,2023-12-25 10:49:33,2023-12-25 10:49:33,
52,Install HD + Install Windows + Basic Programs + Orignal Drivers,2,خدمه,0.0,200.0,0.0,,,,2023-12-26 20:08:50,2023-12-26 20:08:50,
53,SSD M.2 1T,0,قطع غيار,2350.0,0.0,0.0,,,90,2023-12-26 20:10:54,2023-12-26 20:10:54,
