problem_description,count,invoice_ids
No Power,88,"5,8,14,26,29,57,57,57,111,119,120,120,123,123,136,158,158,179,179,225,225,226,226,232,232,242,242,279,279,286,286,286,303,303,315,352,445,445,509,519,519,555,555,565,600,618,618,659,660,660"
قاطع باور بشكل كامل رنج,33,"760,760,785,873,873,905,905,977,977,977,1001,1001,1001,1061,1061,1061,1061,1061,1066,1066,1101,1127,1168,1168,1168,1168,1178,1178,1179,1179,1182,1182,1186"
قاطع باور,24,"247,247,272,272,272,292,292,292,292,296,296,316,316,348,348,397,397,398,398,421,421,551,551,551"
No Power Working Rang 250,18,"542,542,547,547,547,576,576,738,738,751,808,808,838,838,919,1009,1009,1293"
تغيير شاشه,15,"85,318,382,382,385,385,385,485,518,669,703,973,1048,1110,1181"
No Data,14,"71,71,71,145,145,145,208,268,268,321,321,533,533,1129"
سوفت وير,14,"93,94,94,94,222,223,246,307,345,408,420,480,632,668"
No Power Working Raing 500,14,"1247,1247,1254,1309,1310,1317,1319,1331,1335,1335,1351,1389,1394,1412"
صيانه دوريه,12,"186,422,490,506,520,540,558,575,623,916,1054,1054"
Install OS,11,"65,65,81,106,128,167,239,239,799,799,853"
قاطع باور رنج من 250,11,"673,673,692,692,722,730,730,741,741,752,752"
No Power From 250 to,10,"339,339,339,339,340,340,343,343,343,343"
No Power Working Ring 250,10,"617,617,794,794,794,868,896,896,989,989"
No Power - Full Test,9,"126,126,126,126,358,359,359,366,564"
No Data Working Raing 250,9,"1070,1070,1070,1148,1148,1172,1172,1222,1222"
Change Screen,8,"176,176,189,189,607,615,616,898"
قاطع باور بشكل كامل,8,"869,869,869,869,953,1015,1015,1185"
شحن بايوس,7,"77,77,90,91,92,92,92"
Power No Data,7,"78,219,219,620,1190,1266,1399"
Change New KB,7,"161,195,195,259,656,657,696"
الكيبورد بيعلق,7,"248,248,248,248,248,248,248"
Unusual opening and closing +,7,"434,434,434,434,434,434,434"
No Power - Working Raing,7,"1202,1213,1213,1267,1268,1282,1407"
Cooling System,6,"39,134,263,263,801,1253"
no powr,6,"432,432,984,984,1023,1086"
No Power Working Range 250,6,"522,522,522,522,522,522"
قاطع باور من 250 حتي,6,"597,597,608,608,608,608"
كسر ف المفصلات,5,"48,48,48,103,116"
no power,5,"51,442,442,444,444"
Upgread To SSD 128G -,5,"172,172,172,524,524"
No Power - كسر ف,5,"174,174,1387,1387,1415"
Change New Screen,5,"194,278,694,724,1226"
Full Test,5,"197,469,497,1242,1242"
No Power 150-750,5,"262,262,262,262,262"
قاطع داتا,5,"312,393,393,433,433"
يعمل باور وداتا لاكن عند,5,"313,313,313,313,313"
Auto Restarting - Full Chaik,5,"456,456,457,457,457"
Fix Hosing,5,"727,793,793,828,828"
Change KB,5,"821,937,1341,1341,1341"
قاطع باور بشكل كامل +,5,"865,865,899,1173,1173"
الجهاز غير مستقر ف التشغيل,5,"935,935,1288,1288,1414"
No Power Working Raing 250,5,"936,936,1025,1069,1069"
no pwor to250 from1650 01110392254,5,"1087,1087,1087,1087,1087"
مشكله ف كارت AMD فيجا,4,"9,52,52,52"
فحص كامل - NO power,4,"16,58,58,58"
كسر مفصلات,4,"104,643,699,815"
تغيير بطاريه,4,"138,138,612,758"
مبيشتغلش في وجود البطاريه,4,"277,277,277,277"
Power No Data (150-1350),4,"300,300,300,300"
Clicks Not Work,4,"322,322,323,323"
تم تغير حجر السيموس Slow,4,"326,326,326,326"
Do not turning off,4,"329,329,329,329"
Cooling System Pro,4,"337,337,337,1261"
تغيير سوكت شحن,4,"349,599,825,825"
No Power بدون رام وهارد,4,"364,364,364,364"
Endpoint Security Controller Problem,4,"371,371,371,371"
كسر هوسينج,4,"375,375,431,606"
تغيير شاشه + software,4,"384,384,389,389"
software + البطاريه منتفخه,4,"388,388,388,388"
Change KB 850LE,4,"415,415,415,415"
Change SSD Socket - بدون,4,"453,453,454,454"
بيفصل لوحدو,4,"466,466,467,467"
تغيير كيبورد,4,"706,706,711,1217"
no pwar,4,"733,740,740,740"
No Power Working Ring 350,4,"800,800,800,800"
واقع عليه لاكود رنج حتي,4,"924,924,924,924"
لا يشحن ولا يعمل الي,4,"949,950,950,950"
no pwor to250 from2350,4,"1089,1089,1089,1089"
No Data Working Raing 500,4,"1237,1252,1397,1404"
R USB - Chick Battery,3,"6,49,49"
بيهنج عند الضغط علية -,3,"10,53,53"
لمبة الباور بتنور احمر -,3,"11,54,54"
زنة ف السماعات - سبوطات,3,"13,56,56"
No Power - Liqued,3,"45,45,45"
Full Test - بيعمل صوت,3,"66,66,66"
No Power - Led Flat,3,"68,68,68"
مشكله الاغلاق من الويندوز -,3,"73,73,73"
Chinge Hosing C + Install,3,"75,75,75"
Bios Password,3,"114,114,1044"
No Power - يوجد زر,3,"118,118,118"
Windows,3,"132,132,132"
No Power TFrom 150 to,3,"177,177,177"
اصلاح الكسور - اصلاح عطل,3,"190,190,190"
Change Hosing AB,3,"196,196,1372"
Change New Fan,3,"205,205,952"
Routine Maintenance Pro + Full,3,"216,216,216"
No Power 250 - 1500,3,"245,245,245"
Periodic maintenance,3,"294,338,338"
No Data (250-1200),3,"301,301,301"
No Data (150-750),3,"310,310,310"
Over Heat - Full Test,3,"311,311,311"
Need SP & Battery,3,"328,328,328"
No Data - Hosing D,3,"330,330,330"
بيفصل لوحده 250 - 750,3,"341,341,341"
Screen,3,"344,344,344"
قاطع باور There is liquid,3,"351,351,351"
No Power Lequid Price Raing,3,"369,369,369"
No Data From 250 to,3,"402,402,402"
مشكله في الكامير,3,"435,435,435"
No Data Working Rang 250,3,"448,448,574"
No Powe From 250 t0,3,"451,451,451"
Fix Hosing From 450 to,3,"458,458,479"
شاشه,3,"470,710,951"
قاطع باور Money range from,3,"472,472,472"
No Power Up to 650LE,3,"500,500,500"
قاطع باور من 450 حتي,3,"513,513,513"
كسر ف الهوسنج من 450,3,"517,517,705"
NO Power Working Rang From,3,"528,528,528"
Fix Hosing Working Rang 450,3,"534,534,534"
تغيير الشاشه - الفانه بها,3,"535,535,535"
- Fix charger Circuit 150,3,"541,541,541"
Blue Screen Working 450 to,3,"580,580,580"
تركيب هارد,3,"594,737,860"
شاشه زرقه,3,"602,602,929"
بيسخن ويفصل,3,"674,674,674"
لا يقبل ويندوز والسماعات بها,3,"678,678,678"
No Data Working Rang From,3,"718,719,719"
KB Not Working - Fix,3,"723,723,723"
الجهاز بيعمل shutdown بشكل عشوائي,3,"739,739,739"
لحم مفصلات,3,"771,771,771"
كسر في الهوسينج هيتم تبليغ,3,"773,774,774"
بيحصل لاج عند توصيل للشاحن,3,"796,797,797"
قاطع داتا بشكل كامل رنج,3,"805,806,1133"
KB,3,"818,818,818"
تركيب ssd128,3,"822,822,822"
تغيير هارد + شاحن,3,"823,823,823"
اسبوت ف الشاشه,3,"964,980,981"
No Power Workin range 250,3,"991,991,991"
تغيير بطاريه وكيبورد,3,"995,995,996"
السوكت مكسور - تزويد رام,3,"1010,1010,1010"
No Power Working Rang 250-,3,"1057,1057,1057"
no pwor to250 from1350,3,"1060,1060,1060"
الكيبورد لا يعمل,3,"1081,1082,1082"
بيعلق كتير وكان معمله صيانه,3,"1107,1107,1107"
No Charging,3,"1137,1141,1141"
Not Charging,3,"1142,1142,1167"
No Power Working Rang 1400LE,3,"1187,1187,1187"
No Power Working Rang 500,3,"1194,1229,1229"
No Power – Power socket,3,"1210,1211,1211"
Power No Data Working Raing,3,"1380,1380,1396"
الفانه صوتها عالي,2,"1,1"
Power No data,2,"18,25"
صوت الفانه عالي - البطاريه,2,"31,31"
كسر ف الهاوسنج - تفعيل,2,"32,32"
الكلكات لا تعمل,2,"36,36"
الجهاز بدون بطاريه وبدون سوكت,2,"43,43"
تم اصلاح مشكله الشحن و,2,"50,50"
وايفاي + زرار مكسور تم,2,"55,55"
Restarting No Data - كسر,2,"64,64"
سوكت الباور بيعلق - التأكد,2,"67,67"
باسورد بايس,2,"76,76"
الجهاو بدون بطاريه,2,"83,83"
الجهاز وقع عليه سائل,2,"88,88"
اللاب بطئ وبيعلق = تغيير,2,"99,99"
اللاب بطئ وبيعلق + تغيير,2,"100,100"
Liquid,2,"101,101"
التاتش اسكرين بيفصل مع لف,2,"102,102"
الشاشه بترعش فحص كامل,2,"108,108"
No Power - بعد الاصلاح,2,"110,110"
USB,2,"121,122"
Cad - Revit - 3d,2,"124,124"
المشكلله الاساسيه كانت ف دائره,2,"125,125"
بيعمل تصفيره مع الشاحن,2,"130,130"
No Power And Change KB,2,"131,131"
No Power بتكلفه من 200-,2,"135,135"
Change New Screen From 1350,2,"142,142"
Full Test - Regular Maintenance,2,"143,143"
Install Software.. 150LE,2,"144,144"
Full Test - check Screen,2,"156,156"
Upgrad OS + Install VPN,2,"157,157"
No Power - ( بدون,2,"162,163"
Restirting No Power Cost 150,2,"168,168"
غير مستقر في التشغيل,2,"170,170"
Power Not Stable - Blue,2,"178,178"
Wifi Not Work,2,"180,181"
No Power Work to 500LE,2,"182,182"
الجهاز وقع .. No Power,2,"191,191"
Power No Data بدون بطاريه,2,"198,198"
يعمل باور بشكل لحظي -,2,"199,199"
لا يوجد عرض ع الشاشه,2,"200,200"
Change Hosing + Change KB,2,"206,206"
No Data - Need Change,2,"210,210"
No Power - Liqued Fix,2,"211,211"
No Power 500 to 1000,2,"213,213"
مرتجع كيبورد - فحص كامل,2,"217,217"
regular maintenance - fix fan,2,"227,227"
بدون بطاريه,2,"229,229"
