service_name,count,total_revenue,avg_price,min_price,max_price,first_seen_date,first_invoice_id
Cooling System Maintenance,78,42150.00,540.38,0.00,1250.00,2023-11-26,37
Install Windows + Basic Programs + Orignal Drivers,78,11700.00,150.00,0.00,650.00,2023-11-29,65
Descouint,55,-12375.00,-225.00,-850.00,-50.00,2025-08-12,1256
Fix Hosing,47,24700.00,525.53,0.00,950.00,2023-11-26,32
Discount,39,-8325.00,-213.46,-550.00,-50.00,2024-12-08,897
Cooling System Maintenance Pro,32,23185.00,724.53,450.00,1200.00,2024-01-28,257
Fix Power Circuit,31,26200.00,845.16,0.00,3300.00,2023-11-21,29
Fix Ram Circuit,21,9250.00,440.48,0.00,1000.00,2023-11-29,64
Install software + All Programs and All Orignal Drivers,19,5050.00,265.79,50.00,1100.00,2023-12-04,71
Change New Keyboard,16,16450.00,1028.12,450.00,1850.00,2023-12-03,69
Change New KB,16,13320.00,832.50,400.00,2300.00,2023-12-07,84
صيانه دوريه,16,11430.00,714.38,450.00,1200.00,2024-01-12,204
Fix Power Issue,13,12575.00,967.31,350.00,1875.00,2024-01-29,262
Cooling System Maintenance Ultra,13,13200.00,1015.38,750.00,1250.00,2024-02-22,338
Full Test + Install Windows + Basic Programs + Orignal Drivers,13,1300.00,100.00,100.00,100.00,2024-03-01,382
Change New Battery,13,14600.00,1123.08,850.00,2300.00,2024-02-22,343
Fix Charging Circuit,13,10650.00,819.23,350.00,1850.00,2024-03-13,416
Change New RTC Battery,12,1750.00,145.83,100.00,150.00,2023-12-24,135
Change New Screen,12,29950.00,2495.83,1550.00,7500.00,2024-01-14,210
Install HD + Install Windows + Basic Programs + Orignal Drivers,12,3150.00,262.50,0.00,350.00,2024-01-17,224
Change New Fan,11,4950.00,450.00,200.00,650.00,2023-11-29,66
Change RTC Battery,10,1300.00,130.00,0.00,150.00,2024-01-03,182
Discouint,9,-1575.00,-175.00,-250.00,-50.00,2025-05-09,1116
Change New Power Socket,8,3950.00,493.75,350.00,650.00,2023-12-03,67
Unlock Bios Password,8,3700.00,462.50,350.00,750.00,2023-12-04,76
Change screen,8,21000.00,2625.00,1600.00,5500.00,2024-01-31,266
Change New Battery High Copy,8,9000.00,1125.00,950.00,1300.00,2025-05-09,1117
Add SSD 128G + Install HD + Install Windows + Basic Programs + Orignal Drivers,7,7750.00,1107.14,950.00,1200.00,2024-09-24,778
Fix RAM Circuit,6,2500.00,416.67,0.00,1250.00,2023-11-26,37
Add Ram 8G,6,4380.00,730.00,480.00,800.00,2023-12-05,79
Cooling System Pro,6,3500.00,583.33,450.00,850.00,2024-01-29,263
Change New Screen 15.6,6,14500.00,2416.67,1550.00,3200.00,2024-06-26,590
Housing repair,5,2700.00,540.00,400.00,650.00,2024-01-26,249
Fix Fan,5,1050.00,210.00,0.00,350.00,2024-01-27,253
Change New Screen FHD,5,14200.00,2840.00,2600.00,3250.00,2024-02-18,317
Change Screen,5,500.00,100.00,100.00,100.00,2024-03-01,382
Change Power Socket,5,3400.00,680.00,600.00,850.00,2024-04-04,471
اصلاح هوسينج,5,3725.00,745.00,550.00,1100.00,2024-07-30,664
تغيير شاشه,5,11950.00,2390.00,1850.00,2850.00,2024-07-31,669
Fix Bios,4,1750.00,437.50,350.00,600.00,2023-12-24,136
Periodic maintenance,4,1850.00,462.50,350.00,600.00,2024-01-25,246
Change KB,4,1150.00,287.50,0.00,550.00,2024-01-14,211
Fix Power System Circuit,4,2500.00,625.00,450.00,950.00,2024-07-11,618
Add RAM 8G,4,2950.00,737.50,600.00,850.00,2024-08-07,681
Add SSD 256G + Install HD + Install Windows + Basic Programs + Orignal Drivers,4,6100.00,1525.00,1450.00,1650.00,2024-11-05,845
Bios Programming,3,1450.00,483.33,350.00,550.00,2023-10-07,5
Change New KB Orignal,3,2650.00,883.33,450.00,1450.00,2023-11-26,42
Change New Battery Orignal,3,6750.00,2250.00,1150.00,4100.00,2023-11-28,60
